,งวดงบการเงิน ณ วันที่,หลักทรัพย์,สินทรัพย์รวม,หนี้สินรวม,ส่วนของผู้ถือหุ้น,มูลค่าหุ้นที่เรียกชำระแล้ว,รายได้รวม,กำไร (ขาดทุน) จากกิจกรรมอื่น,กำไรสุทธิ,กำไรต่อหุ้น (บาท),อัตราส่วนทางการเงินที่สำคัญ,ROA (%),ROE (%),อัตรากำไรสุทธิ (%),หลักทรัพย์-ปี,ค่าสถิติสำคัญ ณ วันที่,ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),วันที่ของงบการเงินที่ใช้คำนวณค่าสถิติ,P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน (%),ปี
211,ไตรมาส 1/2567 31 มี.ค. 2567,SCGP,206319.51,101918.4,78829.41,4292.92,34210.34,80.17,1724.65,0.4,,4.62,6.52,5.39,SCGP-2567,13 พ.ค. 2567,31.25,134153.76,31 มี.ค. 2567,23.32,1.70,18.36,1.76,2567
212,งบปี 2562 31 ธ.ค. 2562,TISCO,298304.1,259107.98,39192.98,8006.56,24855.5,-5.3,7270.23,9.08,,4.71,18.91,29.26,TISCO-2562,,,,,,,,,
213,งบปี 2563 31 ธ.ค. 2563,TISCO,275443.21,235981.13,39458.94,8006.56,22865.95,10.66,6063.48,7.57,,3.91,15.42,26.52,TISCO-2563,30 ธ.ค. 2563,88.50,70857.14,30 ก.ย. 2563,11.26,1.87,47.26,8.76,2563
214,งบปี 2564 31 ธ.ค. 2564,TISCO,243621.93,202421.55,41197.09,8006.56,21265.45,417.33,6784.59,8.47,,4.17,16.82,31.91,TISCO-2564,30 ธ.ค. 2564,96.00,76861.98,30 ก.ย. 2564,11.60,1.95,49.22,6.56,2564
215,งบปี 2565 31 ธ.ค. 2565,TISCO,265414.44,222623.81,42787.39,8006.56,20784.02,144.7,7224.08,9.02,,4.39,17.2,34.76,TISCO-2565,30 ธ.ค. 2565,99.25,79464.08,30 ก.ย. 2565,11.02,1.94,51.24,7.20,2565
216,งบปี 2566 31 ธ.ค. 2566,TISCO,290724.25,248276.27,42444.87,8006.56,23692.47,5.09,7301.11,9.12,,4.78,17.13,30.82,TISCO-2566,28 ธ.ค. 2566,99.75,79864.40,30 ก.ย. 2566,10.90,1.97,50.55,7.77,2566
217,งบปี 2564 31 ธ.ค. 2564,TLI,533706.29,447275.06,86431.24,10600.00,109246.02,-,8393.52,0.79,,2.02,9.71,7.68,TLI-2564,,,,,,,,,
218,งบปี 2565 31 ธ.ค. 2565,TLI,556041.81,457973.64,98068.18,11450.00,107152.59,-,9265.06,0.84,,2.10,10.04,8.65,TLI-2565,30 ธ.ค. 2565,14.90,170605.00,30 ก.ย. 2565,20.77,1.90,7.83,-,2565
219,งบปี 2566 31 ธ.ค. 2566,TLI,572793.08,468213.72,104579.36,11450.00,108758.73,-,9706.66,0.85,,2.13,9.58,8.92,TLI-2566,28 ธ.ค. 2566,9.15,104767.50,30 ก.ย. 2566,11.67,1.06,8.64,3.28,2566
220,งบปี 2563 31 ธ.ค. 2563,TOP,306187.66,186069.23,116228.96,20400.28,249027.83,9789.99,-3301.41,-1.62,,0.36,-2.8,-1.16,TOP-2563,30 ธ.ค. 2563,52.00,106081.45,30 ก.ย. 2563,-,0.98,52.84,2.88,2563
221,งบปี 2564 31 ธ.ค. 2564,TOP,362144.12,239050.04,120880.74,20400.28,345985.96,-4691.91,12578.03,6.17,,5.59,10.61,3.76,TOP-2564,30 ธ.ค. 2564,49.50,100981.38,30 ก.ย. 2564,6.82,0.87,56.62,1.41,2564
222,งบปี 2565 31 ธ.ค. 2565,TOP,444580.86,285923.49,156034.3,22338.36,530451.37,751.54,32668.14,15.63,,11.38,23.59,6.24,TOP-2565,30 ธ.ค. 2565,56.25,125653.25,30 ก.ย. 2565,3.35,0.81,69.49,4.22,2565
223,งบปี 2566 31 ธ.ค. 2566,TOP,419992.7,251681.01,165567.76,22338.36,470582.84,-2553.37,19443.17,8.7,,6.56,12.09,4.16,TOP-2566,28 ธ.ค. 2566,53.75,120068.66,30 ก.ย. 2566,7.21,0.75,71.77,6.88,2566
224,ไตรมาส 1/2567 31 มี.ค. 2567,TOP,428357.04,254800.04,170773.9,22338.36,120145.58,-1105.61,5862.94,2.62,,6.87,12.54,4.91,TOP-2567,13 พ.ค. 2567,52.75,117834.83,31 มี.ค. 2567,5.68,0.69,76.45,6.45,2567
225,งบปี 2565 31 ธ.ค. 2565,TRUE,793692.29,694750.26,98517.44,138208.4,218205.37,2425.77,-5913.54,0.0,,2.32,-6.0,-2.76,TRUE-2565,,,,,,,,,
226,งบปี 2566 31 ธ.ค. 2566,TRUE,744721.85,658581.44,85779.07,138208.4,208322.51,1765.36,-15536.85,-0.42,,1.4,-16.86,-7.49,TRUE-2566,28 ธ.ค. 2566,5.05,174488.11,30 ก.ย. 2566,-,1.78,2.83,-,2566
227,ไตรมาส 1/2567 31 มี.ค. 2567,TRUE,724034.4,638575.71,85094.2,138208.4,51885.59,690.29,-769.25,-0.02,,1.97,-15.76,-1.48,TRUE-2567,13 พ.ค. 2567,8.55,295420.46,31 มี.ค. 2567,-,3.47,2.46,-,2567
228,งบปี 2563 31 ธ.ค. 2563,TTB,1808331.83,1603582.11,204712.63,91588.95,89885.61,2766.93,10112.18,0.1,,1.68,5.06,11.25,TTB-2563,30 ธ.ค. 2563,1.08,104122.17,30 ก.ย. 2563,9.92,0.51,2.10,2.98,2563
